,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
277,9E67E0C35A2BCE2FF69190D88A36FB09A0333CCE,2015,제주,5인 미만,전력,전력,10800,동물용 사료 및 조제식품 제조업,-
278,C81982DA8C5F88FFE5CB010E4E296E511CB1409A,2015,제주,10인 ~ 19인,전력,전력,23919,기타 석제품 제조업,-
279,75331791EACB84F3EFC6A8BE114A18E6F12DFD40,2015,제주,10인 ~ 19인,전력,전력,17210,골판지 및 골판지상자 제조업,-
280,879C76041A5E4C69DF92D74D83E37AA1560E65EA,2015,제주,10인 ~ 19인,경유,경유,23322,레미콘 제조업,-
281,C92201A5BA8F65C765AF24E69CD20A37562BC5A0,2015,제주,5인 ~ 9인,경유,경유,23322,레미콘 제조업,-
282,38DCB520BF466ACD61E901E32F22F4F810077560,2015,제주,5인 미만,전력,전력,10800,동물용 사료 및 조제식품 제조업,-
283,4A2FEBEFA3E606D37E8306D9B064B470A479A4AC,2015,제주,5인 미만,전력,전력,13224,천막 및 기타 캔버스 제품 제조업,-
284,1EF120CBAEBD2F24AF44EE731B5E0CFC0DCDCE4A,2015,제주,5인 ~ 9인,경유,경유,25913,금속압형제품 제조업,-
285,7AA113B8DA9DB5569A71C14301F9F25862220C17,2015,제주,10인 ~ 19인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
286,FA9DB77DF6F6D4470CFAA42CBEAEE3BE702D8655,2015,제주,10인 ~ 19인,경유,경유,10309,기타 과실·채소 가공 및 저장처리업,-
287,7A90719A70C043DB9913CE1FBBA117494C0D3E03,2015,제주,5인 ~ 9인,전력,전력,31120,오락 및 스포츠용 보트 건조업,-
288,1D0540F6CEE9DC70D5755BF4A4D737CABFB7674D,2015,제주,20인 ~ 49인,전력,전력,15129,가방 및 기타 보호용 케이스 제조업,-
289,FB6469600BECCF0AFA5A6B109981DEACFB968837,2015,제주,10인 ~ 19인,전력,전력,22211,"플라스틱 선, 봉, 관 및 호스 제조업",-
290,3622189E48B84F35060266DC25B7458EC4E193D2,2015,제주,20인 ~ 49인,경유,경유,10713,코코아 제품 및 과자류 제조업,-
291,30896E5F82615B6FFA671C2D150A6A50B46AE28F,2015,제주,5인 ~ 9인,전력,전력,10309,기타 과실·채소 가공 및 저장처리업,-
292,753CFEE103E99E94EB6A57C2C6B8B79762B16F1B,2015,제주,5인 ~ 9인,등유(구:실내등유),등유(구:실내등유),10309,기타 과실·채소 가공 및 저장처리업,-
293,3A38779E91C29BE6CD933E99F424513BB64F958E,2015,제주,20인 ~ 49인,전력,전력,22232,포장용 플라스틱 성형용기 제조업,-
294,3E28A8283924D6480EBC6150458CABF8F2265C45,2015,제주,10인 ~ 19인,등유(구:실내등유),등유(구:실내등유),10797,건강기능식품 제조업,-
